bolometer 7kOm sample 1,bolometer 7kOm sample 1,
6646.295167923,0.001457047,
6642.4377708435,0.0014874872,
6638.580373764,0.0015357367,
6634.7229766846,0.0015421719,
6630.8655796051,0.0015216325,
6627.0081825256,0.0015323048,
6623.1507854462,0.0015634825,
6619.2933883667,0.0015604042,
6615.4359912872,0.0015321079,
6611.5785942078,0.0015371272,
6607.7211971283,0.001583859,
6603.8638000488,0.00161086,
6600.0064029694,0.0015895722,
6596.1490058899,0.001560519,
6592.2916088104,0.0015611399,
6588.434211731,0.0015834238,
6584.5768146515,0.0016004002,
6580.719417572,0.0016122288,
6576.8620204926,0.001627642,
6573.0046234131,0.0016446529,
6569.1472263336,0.001655036,
6565.2898292542,0.0016536895,
6561.4324321747,0.0016560812,
6557.5750350952,0.0016625733,
6553.7176380157,0.0016623305,
6549.8602409363,0.0016599239,
6546.0028438568,0.0016536925,
6542.1454467773,0.0016415024,
6538.2880496979,0.0016347469,
6534.4306526184,0.0016420644,
6530.5732555389,0.0016406846,
6526.7158584595,0.0016149895,
6522.85846138,0.001605939,
6519.0010643005,0.0016438186,
6515.1436672211,0.0016926517,
6511.2862701416,0.0017127104,
6507.4288730621,0.0017174273,
6503.5714759827,0.0017322311,
6499.7140789032,0.001743364,
6495.8566818237,0.0017359996,
6491.9992847443,0.0017356378,
6488.1418876648,0.0017496974,
6484.2844905853,0.0017715229,
6480.4270935059,0.0017941014,
6476.5696964264,0.0017773056,
6472.7122993469,0.0017823337,
6468.8549022675,0.0018470838,
6464.997505188,0.0017849449,
6461.1401081085,0.0015380275,
6457.2827110291,0.0013111962,
6453.4253139496,0.0011969173,
6449.5679168701,0.0011109536,
6445.7105197906,0.0011648786,
6441.8531227112,0.0015291001,
6437.9957256317,0.001881748,
6434.1383285522,0.0019030971,
6430.2809314728,0.0018246312,
6426.4235343933,0.0018393758,
6422.5661373138,0.0018678954,
6418.7087402344,0.001867897,
6414.8513431549,0.0018647313,
6410.9939460754,0.0018823082,
6407.136548996,0.0018922831,
6403.2791519165,0.0018660154,
6399.421754837,0.0018404399,
6395.5643577576,0.0018464255,
6391.7069606781,0.0018648393,
6387.8495635986,0.0018749817,
6383.9921665192,0.0018892803,
6380.1347694397,0.0019116774,
6376.2773723602,0.0019178347,
6372.4199752808,0.0019086476,
6368.5625782013,0.0019093123,
6364.7051811218,0.0019167901,
6360.8477840424,0.0019187928,
6356.9903869629,0.0019095128,
6353.1329898834,0.0018827028,
6349.275592804,0.0018712634,
6345.4181957245,0.0019066638,
6341.560798645,0.0019598259,
6337.7034015656,0.0020002373,
6333.8460044861,0.002031323,
6329.9886074066,0.0020434512,
6326.1312103271,0.002021187,
6322.2738132477,0.0019984916,
6318.4164161682,0.0020014511,
6314.5590190887,0.0020040167,
6310.7016220093,0.0020087587,
6306.8442249298,0.0020338299,
6302.9868278503,0.0020507325,
6299.1294307709,0.0020411855,
6295.2720336914,0.0020330902,
6291.4146366119,0.002044803,
6287.5572395325,0.0020704365,
6283.699842453,0.0021025445,
6279.8424453735,0.0021330593,
6275.9850482941,0.0021537836,
6272.1276512146,0.0021477458,
6268.2702541351,0.0021145288,
6264.4128570557,0.0020821749,
6260.5554599762,0.0020759981,
6256.6980628967,0.0021108282,
6252.8406658173,0.0021550343,
6248.9832687378,0.002156239,
6245.1258716583,0.0021143791,
6241.2684745789,0.0020712402,
6237.4110774994,0.0020711101,
6233.5536804199,0.0021004977,
6229.6962833405,0.0021284213,
6225.838886261,0.002173427,
6221.9814891815,0.0022169077,
6218.1240921021,0.0022140923,
6214.2666950226,0.0021855941,
6210.4092979431,0.0021741271,
6206.5519008636,0.0021915534,
6202.6945037842,0.0022192504,
6198.8371067047,0.0022289744,
6194.9797096252,0.0022264328,
6191.1223125458,0.0022391225,
6187.2649154663,0.0022563464,
6183.4075183868,0.0022533718,
6179.5501213074,0.0022516195,
6175.6927242279,0.0022783531,
6171.8353271484,0.0023064697,
6167.977930069,0.0023059337,
6164.1205329895,0.0022992422,
6160.26313591,0.002298764,
6156.4057388306,0.0022982601,
6152.5483417511,0.0023237173,
6148.6909446716,0.0023603481,
6144.8335475922,0.0023586024,
6140.9761505127,0.0023516635,
6137.1187534332,0.0023721815,
6133.2613563538,0.0023671356,
6129.4039592743,0.0023438451,
6125.5465621948,0.0023728635,
6121.6891651154,0.0024279635,
6117.8317680359,0.0024445415,
6113.9743709564,0.002428886,
6110.116973877,0.0024170792,
6106.2595767975,0.002426587,
6102.402179718,0.0024410756,
6098.5447826385,0.0024348279,
6094.6873855591,0.0024117797,
6090.8299884796,0.0024033766,
6086.9725914001,0.0024277153,
6083.1151943207,0.0024678833,
6079.2577972412,0.0025026707,
6075.4004001617,0.0025204972,
6071.5430030823,0.0025327192,
6067.6856060028,0.002553602,
6063.8282089233,0.0025610249,
6059.9708118439,0.0025488124,
6056.1134147644,0.0025347881,
6052.2560176849,0.0025303029,
6048.3986206055,0.0025479712,
6044.541223526,0.0025676121,
6040.6838264465,0.0025604493,
6036.8264293671,0.0025624002,
6032.9690322876,0.0026190914,
6029.1116352081,0.0026847413,
6025.2542381287,0.0026933604,
6021.3968410492,0.0026672827,
6017.5394439697,0.0026532691,
6013.6820468903,0.0026541478,
6009.8246498108,0.0026592966,
6005.9672527313,0.0026697547,
6002.1098556519,0.0026772595,
5998.2524585724,0.0026805727,
5994.3950614929,0.0026978995,
5990.5376644135,0.0027055414,
5986.680267334,0.0026937234,
5982.8228702545,0.0027029559,
5978.965473175,0.0027215523,
5975.1080760956,0.0027222477,
5971.2506790161,0.0027231928,
5967.3932819366,0.0027380739,
5963.5358848572,0.00275614,
5959.6784877777,0.0027603174,
5955.8210906982,0.0027490673,
5951.9636936188,0.0027373023,
5948.1062965393,0.0027372665,
5944.2488994598,0.002752461,
5940.3915023804,0.0027916813,
5936.5341053009,0.0028508638,
5932.6767082214,0.0028783856,
5928.819311142,0.0028458484,
5924.9619140625,0.0028182552,
5921.104516983,0.0028495395,
5917.2471199036,0.0028984505,
5913.3897228241,0.0029086787,
5909.5323257446,0.0028727592,
5905.6749286652,0.0028294395,
5901.8175315857,0.0028343482,
5897.9601345062,0.0028997958,
5894.1027374268,0.002970468,
5890.2453403473,0.0029938873,
5886.3879432678,0.0029915972,
5882.5305461884,0.0029902579,
5878.6731491089,0.0029767528,
5874.8157520294,0.0029524509,
5870.95835495,0.0029347276,
5867.1009578705,0.0029418448,
5863.243560791,0.0029722825,
5859.3861637115,0.0030044308,
5855.5287666321,0.0030336264,
5851.6713695526,0.0030637784,
5847.8139724731,0.0030823967,
5843.9565753937,0.0030792989,
5840.0991783142,0.0030754651,
5836.2417812347,0.0030851271,
5832.3843841553,0.0030967086,
5828.5269870758,0.0031089862,
5824.6695899963,0.0031316986,
5820.8121929169,0.0031697452,
5816.9547958374,0.0032171521,
5813.0973987579,0.0032610814,
5809.2400016785,0.0032693879,
5805.382604599,0.0032256972,
5801.5252075195,0.0031885779,
5797.6678104401,0.0032105083,
5793.8104133606,0.0032502492,
5789.9530162811,0.0032485893,
5786.0956192017,0.0032228697,
5782.2382221222,0.0032215863,
5778.3808250427,0.0032512886,
5774.5234279633,0.0032925955,
5770.6660308838,0.0033298181,
5766.8086338043,0.0033386033,
5762.9512367249,0.0033128331,
5759.0938396454,0.00330617,
5755.2364425659,0.0033340389,
5751.3790454865,0.0033506332,
5747.521648407,0.0033549978,
5743.6642513275,0.0033670196,
5739.806854248,0.0033852244,
5735.9494571686,0.0034069773,
5732.0920600891,0.0034438185,
5728.2346630096,0.0034800163,
5724.3772659302,0.0034820125,
5720.5198688507,0.0034820025,
5716.6624717712,0.0035050546,
5712.8050746918,0.00352557,
5708.9476776123,0.0035334879,
5705.0902805328,0.0035412156,
5701.2328834534,0.0035535912,
5697.3754863739,0.0035511195,
5693.5180892944,0.0035520378,
5689.660692215,0.0035804485,
5685.8032951355,0.0035976151,
5681.945898056,0.0035809502,
5678.0885009766,0.0035555484,
5674.2311038971,0.0035600085,
5670.3737068176,0.0036091227,
5666.5163097382,0.0036678168,
5662.6589126587,0.0036918493,
5658.8015155792,0.0036853584,
5654.9441184998,0.003690392,
5651.0867214203,0.003715347,
5647.2293243408,0.0037376981,
5643.3719272614,0.0037418474,
5639.5145301819,0.0037225033,
5635.6571331024,0.0037110937,
5631.7997360229,0.0037368252,
5627.9423389435,0.0037768609,
5624.084941864,0.0038070204,
5620.2275447845,0.0038169371,
5616.3701477051,0.003802625,
5612.5127506256,0.0038002497,
5608.6553535461,0.0038345004,
5604.7979564667,0.0038587064,
5600.9405593872,0.0038439417,
5597.0831623077,0.0038279593,
5593.2257652283,0.0038373719,
5589.3683681488,0.0038790861,
5585.5109710693,0.0039449278,
5581.6535739899,0.0039947163,
5577.7961769104,0.0040162615,
5573.9387798309,0.0040282174,
5570.0813827515,0.0040184408,
5566.223985672,0.0039817104,
5562.3665885925,0.0039777742,
5558.5091915131,0.0040331297,
5554.6517944336,0.0040704063,
5550.7943973541,0.0040503703,
5546.9370002747,0.0040459307,
5543.0796031952,0.0041066878,
5539.2222061157,0.004180423,
5535.3648090363,0.0041998196,
5531.5074119568,0.0041583227,
5527.6500148773,0.0041141133,
5523.7926177979,0.0041153017,
5519.9352207184,0.0041353344,
5516.0778236389,0.0041483068,
5512.2204265594,0.0041807434,
5508.36302948,0.0042396393,
5504.5056324005,0.0042700442,
5500.648235321,0.0042835372,
5496.7908382416,0.0043199984,
5492.9334411621,0.0043451795,
5489.0760440826,0.0043593231,
5485.2186470032,0.0043188045,
5481.3612499237,0.0043233884,
5477.5038528442,0.0044987341,
5473.6464557648,0.0044571152,
5469.7890586853,0.0040552169,
5465.9316616058,0.0038582184,
5462.0742645264,0.0040750145,
5458.2168674469,0.004138465,
5454.3594703674,0.0038032024,
5450.502073288,0.0037393081,
5446.6446762085,0.0041668322,
5442.787279129,0.0044588726,
5438.9298820496,0.004451267,
5435.0724849701,0.0044354326,
5431.2150878906,0.0044942973,
5427.3576908112,0.004564825,
5423.5002937317,0.0046121436,
5419.6428966522,0.0046309293,
5415.7854995728,0.0046134535,
5411.9281024933,0.0046061762,
5408.0707054138,0.004641084,
5404.2133083344,0.0046828627,
5400.3559112549,0.00471731,
5396.4985141754,0.0047414843,
5392.6411170959,0.0047397939,
5388.7837200165,0.0047208546,
5384.926322937,0.004726083,
5381.0689258575,0.0047863815,
5377.2115287781,0.0048644352,
5373.3541316986,0.0048888605,
5369.4967346191,0.0048704483,
5365.6393375397,0.0048690415,
5361.7819404602,0.00489196,
5357.9245433807,0.0049174819,
5354.0671463013,0.0049247844,
5350.2097492218,0.0049135853,
5346.3523521423,0.0049154577,
5342.4949550629,0.0049550394,
5338.6375579834,0.0050093168,
5334.7801609039,0.0050296225,
5330.9227638245,0.0050230371,
5327.065366745,0.0050470484,
5323.2079696655,0.0051074252,
5319.3505725861,0.0051577631,
5315.4931755066,0.0051763654,
5311.6357784271,0.0051601222,
5307.7783813477,0.0051338831,
5303.9209842682,0.0051494082,
5300.0635871887,0.0051998422,
5296.2061901093,0.0052419836,
5292.3487930298,0.0052737202,
5288.4913959503,0.0053068269,
5284.6339988708,0.0053282492,
5280.7766017914,0.0053150626,
5276.9192047119,0.0052725701,
5273.0618076324,0.0052549075,
5269.204410553,0.0052930419,
5265.3470134735,0.0053445566,
5261.489616394,0.0053771138,
5257.6322193146,0.0054037943,
5253.7748222351,0.0054425001,
5249.9174251556,0.0054925573,
5246.0600280762,0.0055286223,
5242.2026309967,0.0055266954,
5238.3452339172,0.0055055441,
5234.4878368378,0.0055120708,
5230.6304397583,0.00553915,
5226.7730426788,0.0055409269,
5222.9156455994,0.0055230381,
5219.0582485199,0.0055315197,
5215.2008514404,0.0055863447,
5211.343454361,0.0056608776,
5207.4860572815,0.005707514,
5203.628660202,0.0057078749,
5199.7712631226,0.0057117878,
5195.9138660431,0.00575952,
5192.0564689636,0.0058138268,
5188.1990718842,0.005837719,
5184.3416748047,0.0058521498,
5180.4842777252,0.0058907475,
5176.6268806458,0.005931057,
5172.7694835663,0.0059410683,
5168.9120864868,0.005939574,
5165.0546894073,0.0059534255,
5161.1972923279,0.0059965937,
5157.3398952484,0.0060369396,
5153.4824981689,0.0060201557,
5149.6251010895,0.0059770485,
5145.76770401,0.0059738066,
5141.9103069305,0.0060137305,
5138.0529098511,0.0060638795,
5134.1955127716,0.0060867351,
5130.3381156921,0.0061039049,
5126.4807186127,0.0061832443,
5122.6233215332,0.006271801,
5118.7659244537,0.0062743863,
5114.9085273743,0.0062326267,
5111.0511302948,0.0062202159,
5107.1937332153,0.006245831,
5103.3363361359,0.006297166,
5099.4789390564,0.0063556097,
5095.6215419769,0.0063898093,
5091.7641448975,0.0063895388,
5087.906747818,0.0063906945,
5084.0493507385,0.0064251116,
5080.1919536591,0.0064729489,
5076.3345565796,0.0064996593,
5072.4771595001,0.0065104449,
5068.6197624207,0.0065362612,
5064.7623653412,0.0065797446,
5060.9049682617,0.0066010291,
5057.0475711823,0.0065834378,
5053.1901741028,0.0065797875,
5049.3327770233,0.0066252202,
5045.4753799438,0.006666359,
5041.6179828644,0.0066666408,
