reference.0,reference.0,
6889.3111839294,0.0056683989,
6885.45378685,0.0056802761,
6881.5963897705,0.0057007661,
6877.738992691,0.0057258224,
6873.8815956116,0.0057438333,
6870.0241985321,0.0057671024,
6866.1668014526,0.0057899603,
6862.3094043732,0.0058075627,
6858.4520072937,0.0058245221,
6854.5946102142,0.0058553568,
6850.7372131348,0.0058748471,
6846.8798160553,0.0058976617,
6843.0224189758,0.005918799,
6839.1650218964,0.0059384471,
6835.3076248169,0.0059628552,
6831.4502277374,0.0059790416,
6827.592830658,0.0059981658,
6823.7354335785,0.0060251215,
6819.878036499,0.0060467729,
6816.0206394196,0.0060689547,
6812.1632423401,0.0060906098,
6808.3058452606,0.0061081685,
6804.4484481812,0.0061372379,
6800.5910511017,0.0061574792,
6796.7336540222,0.006178115,
6792.8762569427,0.0061985441,
6789.0188598633,0.006224487,
6785.1614627838,0.006242889,
6781.3040657043,0.0062687658,
6777.4466686249,0.0062898188,
6773.5892715454,0.0063171154,
6769.7318744659,0.006335251,
6765.8744773865,0.0063592345,
6762.017080307,0.0063766968,
6758.1596832275,0.0063946629,
6754.3022861481,0.006426217,
6750.4448890686,0.0064490298,
6746.5874919891,0.0064688409,
6742.7300949097,0.0064882343,
6738.8726978302,0.0065154564,
6735.0153007507,0.0065428698,
6731.1579036713,0.0065652016,
6727.3005065918,0.0065898681,
6723.4431095123,0.0066090384,
6719.5857124329,0.0066303629,
6715.7283153534,0.0066566709,
6711.8709182739,0.0066809189,
6708.0135211945,0.0067019504,
6704.156124115,0.0067239869,
6700.2987270355,0.0067446749,
6696.4413299561,0.0067772297,
6692.5839328766,0.0067971079,
6688.7265357971,0.0068245567,
6684.8691387177,0.0068496331,
6681.0117416382,0.0068730637,
6677.1543445587,0.0068977699,
6673.2969474792,0.0069130231,
6669.4395503998,0.0069399038,
6665.5821533203,0.0069699036,
6661.7247562408,0.0069880513,
6657.8673591614,0.007012798,
6654.0099620819,0.0070379344,
6650.1525650024,0.0070575811,
6646.295167923,0.0070932498,
6642.4377708435,0.0071170037,
6638.580373764,0.0071363505,
6634.7229766846,0.0071570408,
6630.8655796051,0.0071881856,
6627.0081825256,0.0072106812,
6623.1507854462,0.0072381431,
6619.2933883667,0.0072602569,
6615.4359912872,0.0072834245,
6611.5785942078,0.0073125088,
6607.7211971283,0.0073375907,
6603.8638000488,0.0073650666,
6600.0064029694,0.0073871664,
6596.1490058899,0.0074185156,
6592.2916088104,0.0074358443,
6588.434211731,0.007463621,
6584.5768146515,0.0074967276,
6580.719417572,0.0075205192,
6576.8620204926,0.0075434409,
6573.0046234131,0.0075684339,
6569.1472263336,0.0075996867,
6565.2898292542,0.0076244837,
6561.4324321747,0.0076503209,
6557.5750350952,0.0076761292,
6553.7176380157,0.0077031269,
6549.8602409363,0.0077330582,
6546.0028438568,0.0077595478,
6542.1454467773,0.0077859382,
