# 8c743a200ffab0370801cc4c1dd8ca106d1b4ee2
# Loss.Nf            = 70
# Loss.fmin          = 7.000e+10
# Loss.fmax          = 1.300e+11
# Loss.z0            = 50
# Loss.feedDiam      = 3e-05
# Loss.leftLim       = 8.000e+10
# Loss.rightLim      = 1.200e+11
# Loss.T             = -10
# Loss.p             = 2.5
# Loss.div           = 10
# GP n_calls         = 100
# GP n_random_starts = 5
Iter_,Loss,BT.Radius,BT.Height,BT.phi
# rMin          = 0.0004
# rMax          = 0.0015
# phiMin        = 10
# phiMax        = 160
0,2427.6,0.0009474300331199143,0.0004119543028101859,133
1,3346.54,0.001073323084144998,0.0005468854269017267,126
2,8524.44,0.0013467367485154563,0.004546507068112677,33
3,211.74,0.0006183706349287882,0.00027531634482274914,132
4,1123.39,0.0005746968885028802,0.002393784817552724,27
5,7222.97,0.0004,7.0530792283386e-05,160
6,2391.02,0.0007153179693555577,0.008176121802839064,10
7,1550.74,0.0006385640865273416,0.007298820907672539,10
8,252.42,0.0005991989565612109,0.00010565494285410098,160
9,116.67,0.0006484251847370067,0.00011433485504000502,160
10,137.19,0.0006298428827437458,0.00011105829383492043,160
11,261.41,0.0007569014591836269,0.00013346214899168037,160
12,177.76,0.0007001537157632607,0.00012345599073234855,160
13,3182.76,0.0015,0.00026449047106269746,160
14,114.48,0.0006545898065986511,0.00011542184420007816,160
15,4482.97,0.001269147442728832,0.00022378493665024444,160
16,116.89,0.0006541676372105634,0.00011534740434652912,160
17,116.24,0.0006521692933481333,0.00011499504240684954,160
18,119.51,0.0006514592316810214,0.00011486983937697088,160
19,104.13,0.0006589117648480768,0.00011618392204894744,160
20,468.69,0.000820781779182315,0.00014472597294373963,160
21,209.45,0.0006617673639217198,0.00019602442371909545,147
22,122.52,0.0006672806623325156,0.0001176595844742372,160
23,119.49,0.000644783556329764,0.00011369273769809373,160
24,10495.37,0.0015,0.017145078454142027,10
25,9183.84,0.0010068441940104362,0.011508281798270882,10
26,829.98,0.0006203129226644369,0.0006652041686893028,86
27,12799.0,0.0004,0.00457202092110454,10
28,1924.54,0.0010091532310342573,0.0001779409423004626,160
29,107.01,0.0005689065784453996,0.0003351115848421299,119
30,109.87,0.0005805814052862548,0.00028946721065354193,127
31,152.8,0.0005753619130276729,0.0003665459639912378,115
32,103.85,0.0005667665910865731,0.00027643053658330343,128
33,95.99,0.0005713235165817089,0.0002786530976509478,128
34,100.57,0.0005723576414344576,0.0002730005909170629,129
35,106.42,0.0005630572333024745,0.00029938284151214333,124
36,101.55,0.0005720557441796934,0.0002790102289127321,128
37,95.82,0.0005716606230929442,0.000278817515482295,128
38,95.94,0.000571490598595445,0.0002787345889940101,128
39,106.29,0.0005713410585166092,0.00028486014370216064,127
40,1798.29,0.0007835196691982934,0.0004166047980050144,124
41,83.62,0.0006011675373315565,0.00020114784422772664,143
42,215.4,0.000548556525689473,0.0005882548538292419,86
43,95.39,0.0006125415613198346,0.00018144307668807756,147
