# 8c743a200ffab0370801cc4c1dd8ca106d1b4ee2
# Loss.Nf            = 70
# Loss.fmin          = 7.000e+10
# Loss.fmax          = 1.300e+11
# Loss.z0            = 50
# Loss.feedDiam      = 3e-05
# Loss.leftLim       = 8.000e+10
# Loss.rightLim      = 1.200e+11
# Loss.T             = -10
# Loss.p             = 2.5
# Loss.div           = 10
# GP n_calls         = 100
# GP n_random_starts = 5
Iter_,Loss,BT.Radius,BT.Height,BT.phi
# rMin          = 0.0003
# rMax          = 0.0014
# phiMin        = 10
# phiMax        = 160
0,1793.28,0.0008474300331199143,0.00036847306531409253,133
1,2920.3,0.0009733230841449979,0.0004959328819522838,126
2,8696.99,0.0012467367485154562,0.004208912725853552,33
3,603.89,0.0005183706349287881,0.0002307934762918955,132
4,5537.55,0.0004746968885028802,0.0019772548405436823,27
5,12457.62,0.0003,5.289809421253949e-05,160
6,12409.96,0.0003,0.00013671787665977538,131
7,222.41,0.0005377779629296425,0.00032312959970528534,118
8,1744.59,0.0007653328551916988,0.00045081550425358135,119
9,116.68,0.0006529725539948341,0.00011513667893140421,160
10,438.99,0.0005759439079600006,0.00010155445034802094,160
11,217.99,0.0006043310514999758,0.00031459483303617787,125
12,3968.33,0.0014,0.000246857772991851,160
13,261.69,0.0007364261304316224,0.0001298517960938262,160
14,4109.55,0.0011530083446731705,0.00020330648014788526,160
15,106.79,0.0005677957560015906,0.0002893063877977395,126
16,127.15,0.0006826050022561891,0.00012036167906432876,160
17,115.21,0.0005668744022508142,0.00034738108047565176,117
18,103.29,0.0005675336960800888,0.0003081456550235525,123
19,105.95,0.0005675796769442148,0.00030817062059580405,123
20,980.7,0.00091484654821316,0.00016131212965798762,160
21,105.85,0.0005673034239114807,0.00030802062743713864,123
22,103.27,0.0005671998756914346,0.0003079644053408772,123
23,104.48,0.0005670949717338427,0.0003143458758654211,122
24,105.84,0.0005672104383068603,0.00030797014037312563,123
25,104.9,0.0005672043225942133,0.0003144064900371087,122
26,104.46,0.0005670295605306859,0.0003143096178434449,122
27,105.83,0.000567195181708965,0.0003079618567163413,123
28,104.78,0.000566758059455679,0.0003141591223400894,122
29,101.08,0.0005701593691349134,0.0002968061811350062,125
30,5699.71,0.0008294917382274285,0.009481133952647934,10
31,102.5,0.0005741135487927981,0.00028001388728344443,128
32,99.31,0.0005724697860001897,0.0002916879250337261,126
33,99.02,0.000614660801446978,0.0001820708242128026,147
34,92.95,0.0005970907204354124,0.00021732324939505255,140
35,92.15,0.0005962401933919885,0.0002170136828678078,140
36,91.72,0.0005974433690622957,0.0002115657930202711,141
37,91.51,0.0005924147432317304,0.00022149479639526834,139
38,85.26,0.0006019104534813847,0.00020139642049424165,143
39,10695.71,0.0014,0.01600207322386589,10
40,107.3,0.0006360481307882925,0.00017042858299204809,150
41,94.05,0.0006108775866641009,0.00018676402085863742,146
42,92.83,0.0006082580120253308,0.00019178301451752494,145
43,92.31,0.0005873527232234394,0.0002313643905586766,137
44,96.39,0.0006040386123416532,0.00020798717372240275,142
45,95.96,0.0006203380805449047,0.00016043033587449297,151
46,90.18,0.0005862666629544359,0.00023686710716645264,136
47,90.0,0.0005944566015957105,0.00021050812318852282,141
48,90.7,0.0005857204358200177,0.0002366464170788849,136
49,93.52,0.0005989255147122825,0.0002062265930191645,142
50,90.83,0.0005847921131530748,0.00023627135037540274,136
51,85.16,0.0005841492873143572,0.0002419625572561845,135
52,90.95,0.0005857613647801286,0.00023666295345216586,136
53,90.8,0.0005881653584395158,0.00022577552775864419,138
54,97.27,0.0006219626340091618,0.00015507270138058845,152
55,98.63,0.0006012284233547889,0.00019535095668302724,144
56,97.62,0.000591836563067239,0.0002331306220441289,137
57,186.22,0.0005613021958635724,0.0004965982337312313,97
58,929.54,0.0006129565435811152,0.0010002541697794742,63
59,93.49,0.0005806834925043808,0.00023461135988132252,136
60,90.53,0.0005882369597412689,0.00020830563249337578,141
61,94.33,0.0005826339249775457,0.00022950560649730563,137
62,89.01,0.0005889644819933302,0.00021436554048558486,140
63,88.74,0.0005790308328257172,0.00023984242398860034,135
64,90.41,0.0006009544101239737,0.00018948019768357283,145
65,91.14,0.0005861840017642581,0.00022501495619043545,138
66,99.85,0.0005969717017281382,0.00019396786398514785,144
67,89.36,0.0005799172826477546,0.00024616028196867897,134
68,89.19,0.0005786105018323767,0.00023966831719047298,135
69,86.96,0.0005809683118945415,0.0002466064174150398,134
70,114.52,0.0006522621286397951,0.00015058657777877887,154
71,90.28,0.0005874933039484249,0.00022551755020993038,138
72,89.54,0.0005793677738947694,0.00025191627774301384,133
73,89.99,0.0005766296371322991,0.00024476475924274367,134
74,88.93,0.0005821994579318732,0.0002411549114816461,135
75,97.45,0.000629585661074931,0.00014535130273096117,154
76,92.96,0.0005792729730761979,0.0002340414730402866,136
77,88.96,0.0005825305524243074,0.00024129205531083937,135
78,92.41,0.0005860026846453581,0.00023083259622028605,137
79,93.52,0.0005845978163631084,0.00022440607666203582,138
80,90.4,0.0005834989744329046,0.00023574888841881107,136
81,92.08,0.0005889038151887222,0.00022018211418921402,139
82,106.05,0.0006233130244071751,0.00017286000030027876,149
83,92.45,0.000586756081566438,0.00023112936715979546,137
84,88.79,0.0005895313256070004,0.0002145718546884447,140
85,89.12,0.0005935169989590033,0.0002043642916983983,142
86,88.9,0.0005821891427150765,0.00024115063877895007,135
87,90.16,0.000586245311730973,0.00023685848071221995,136
88,89.22,0.0005803542034983656,0.0002463457438664402,134
89,90.57,0.0005885500324165506,0.00022592319026364192,138
90,4099.25,0.0014,0.00111361028333496,103
91,91.11,0.0005854422787421528,0.0002365340343245258,136
92,476.11,0.0008133957759561077,0.0001434236212953595,160
93,91.86,0.0005759513834887235,0.00026247616736612767,131
94,93.52,0.000590350626598065,0.00022072305480927112,139
95,91.2,0.0005931397852180944,0.00021588522657843475,140
96,92.5,0.0005855748266990235,0.00022478111579185152,138
97,90.82,0.0005847791666438763,0.00023626611964615353,136
98,92.1,0.0005890012074560753,0.00022021852766587765,139
99,92.01,0.0005891179472765069,0.00023801910080988194,136
# Loss.min      = 85.16
# Loss.iter_min = 51
# Loss.min_x    = (0.0005841492873143572, 135)
